name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,32514634,3,6.05s,1.19s,74.88us,1.20s,204.83us,1.19s,1.20s
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,32514634,5,5.06s,628.47ms,135.04us,628.68ms,340.74us,628.34ms,629.10ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,32514634,30,4.53s,99.96ms,84.88us,100.00ms,150.70us,99.65ms,100.41ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,32514634,85,4.57s,35.69ms,35.21us,35.70ms,66.81us,35.58ms,35.96ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,32514634,89,4.62s,33.93ms,45.00us,33.95ms,87.27us,33.76ms,34.29ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,,213710,4.68s,13.04us,42.00ns,13.07us,482.00ns,12.71us,39.54us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,,123680,4.59s,23.25us,83.00ns,23.28us,642.00ns,22.71us,49.08us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,,124720,4.62s,23.04us,83.00ns,23.09us,663.00ns,22.58us,62.83us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,,124091,4.60s,23.17us,83.00ns,23.20us,647.00ns,22.67us,49.12us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,,14612,4.55s,184.04us,251.00ns,184.37us,1.98us,182.67us,243.62us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,,7393,4.51s,383.92us,375.00ns,384.63us,3.32us,382.04us,456.00us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,,7425,4.54s,382.29us,375.00ns,383.01us,3.47us,380.58us,441.00us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,,7432,4.51s,381.88us,375.00ns,382.59us,3.60us,380.08us,454.33us
