name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/03-date/compile-ascii,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,953,4.51s,1.26ms,6.56us,1.26ms,13.65us,1.21ms,1.33ms
curated/03-date/compile-unicode,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,821,4.56s,3.63ms,54.80us,3.65ms,112.74us,3.51ms,4.17ms
curated/03-date/compile-unicode,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,405,4.56s,4.69ms,29.98us,4.70ms,43.87us,4.63ms,4.92ms
curated/03-date/compile-unicode,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,293,4.56s,4.51ms,20.40us,4.52ms,30.96us,4.45ms,4.63ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,32514634,4,5.96s,0.95s,1.71ms,0.95s,1.97ms,0.95s,0.95s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,164,4.56s,18.29ms,55.11us,18.30ms,75.00us,18.15ms,18.52ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,168,4.61s,17.94ms,33.24us,17.96ms,71.39us,17.83ms,18.21ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,32514634,13,5.11s,243.35ms,113.14us,243.72ms,1.02ms,243.24ms,247.17ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,147,4.56s,20.41ms,29.21us,20.42ms,70.53us,20.25ms,20.80ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,157,4.56s,19.21ms,21.45us,19.22ms,61.69us,19.13ms,19.66ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,47055,4.56s,62.12us,378.00ns,62.22us,1.72us,60.15us,379.99us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,53489,4.56s,51.83us,0.96us,52.01us,1.41us,47.99us,78.67us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,52864,4.56s,52.13us,1.01us,52.28us,1.44us,48.13us,66.82us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,150600,48,4.56s,62.73ms,59.38us,62.72ms,97.58us,62.51ms,63.01ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,150600,209,4.56s,14.41ms,27.85us,14.41ms,41.49us,14.29ms,14.52ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,150600,214,4.56s,14.04ms,17.18us,14.04ms,25.82us,13.99ms,14.12ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,3725,4.56s,800.88us,3.47us,801.37us,8.65us,783.08us,1.18ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,5180,4.51s,241.25us,2.82us,241.70us,3.86us,232.56us,260.04us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,3221,4.51s,244.29us,2.78us,244.77us,3.89us,236.00us,263.89us
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,150600,1561,4.51s,1.92ms,16.77us,1.92ms,21.23us,1.87ms,1.97ms
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,150600,1597,4.51s,1.88ms,15.95us,1.88ms,21.55us,1.82ms,1.93ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,107,676742,4.73s,4.21us,55.00ns,4.22us,941.00ns,3.92us,643.78us
